# Dit is de ParameterMappingTable. Kopieer deze tekst in een leeg txt bestand om een bestand te maken wat in Revit ingelezen kan worden		
# Deze tabel mapt de NLRS parameters (of Revit Built-In parameters) aan de Common Property Sets in IFC. Indien geen mapping beschikbaar is, is de regel leeg gelaten		
# Parameters die u niet wilt mappen kunt u uitschakelen door aan het begin van de regel een # te plaatsen		
# PSet <tab> IFC Property <tab> Revit parameter		
# IFC 4		
# NLRS 3.1.1		
# -----------------------------------------------------		
#PropertySet	IFC Property	Revit Parameter
Pset_DamperTypeCommon	BladeThickness	NLRS_C_dikte_01
Pset_DamperTypeCommon	CloseOffRating	
Pset_SiteCommon	FloorAreaRatio	
Pset_DamperTypeCommon	FrameThickness	NLRS_C_dikte_01
Pset_DamperTypeCommon	FrameType	NLRS_C_type
Pset_DamperTypeCommon	LeakageCurve	
Pset_DamperTypeCommon	LeakageFullyClosed	
Pset_DamperTypeCommon	LossCoefficentCurve	
Pset_DamperTypeCommon	MaximumAirFlowRate	
Pset_DamperTypeCommon	MaximumWorkingPressure	
Pset_DamperTypeCommon	NominalAirFlowRate	
Pset_DamperTypeCommon	NumberofBlades	
Pset_DamperTypeCommon	OpenPressureDrop	
Pset_DamperTypeCommon	Operation	
Pset_DamperTypeCommon	Orientation	
Pset_DamperTypeCommon	RegeneratedSoundCurve	
Pset_DamperTypeCommon	Status	NLRS_C_status
Pset_DamperTypeCommon	TemperatureRange	
Pset_DamperTypeCommon	TemperatureRating	
Pset_DamperTypeCommon	FrameDepth	NLRS_C_diepte_01
Pset_DamperTypeControlDamper	ActuationType	NLRS_C_type
Pset_DamperTypeControlDamper	ClosureRatingEnum	
Pset_DamperTypeControlDamper	ControlType	NLRS_C_type
Pset_DamperTypeControlDamper	FireResistanceRating	NLRS_C_brandwerendheid
Pset_DamperTypeControlDamper	FusibleLinkTemperature	
Pset_DamperTypeFireDamper	ActuationType	NLRS_C_type
Pset_DamperTypeFireDamper	ClosureRatingEnum	
Pset_DamperTypeFireDamper	FireResistanceRating	NLRS_C_brandwerendheid
Pset_DamperTypeFireDamper	FusibleLinkTemperature	
Pset_DamperTypeFireSmokeDamper	ActuationType	NLRS_C_type
Pset_DamperTypeFireSmokeDamper	ClosureRatingEnum	
Pset_DamperTypeFireSmokeDamper	ControlType	NLRS_C_type
Pset_DamperTypeFireSmokeDamper	FireResistanceRating	NLRS_C_brandwerendheid
Pset_DamperTypeFireSmokeDamper	FusibleLinkTemperature	
Pset_DamperTypeSmokeDamper	ControlType	NLRS_C_type
Pset_DistributionChamberElementType	Reference	Description
Pset_DistributionChamberElementType	Reference	NLRS_C_description
Pset_DistributionChamberElementType	Status	NLRS_C_status
Pset_DistributionChamberElementTypeFormedDuct	ClearDepth	NLRS_C_diepte_netto
Pset_DistributionChamberElementTypeFormedDuct	ClearDepth	Depth
Pset_DistributionChamberElementTypeFormedDuct	AccessCoverLoadRating	NLRS_C_kwaliteitsklasse
Pset_DistributionChamberElementTypeFormedDuct	BaseThickness	Thickness
Pset_DistributionChamberElementTypeFormedDuct	BaseThickness	NLRS_C_dikte
Pset_DistributionChamberElementTypeFormedDuct	ClearWidth	NLRS_C_breedte_netto
Pset_DistributionChamberElementTypeFormedDuct	WallThickness	NLRS_C_dikte_01
Pset_DistributionChamberElementTypeInspectionChamber	AccessCoverLoadRating	NLRS_C_kwaliteitsklasse
Pset_DistributionChamberElementTypeInspectionChamber	AccessCoverMaterial	NLRS_C_materiaal_03
Pset_DistributionChamberElementTypeInspectionChamber	AccessLengthOrRadius	Length
Pset_DistributionChamberElementTypeInspectionChamber	AccessLengthOrRadius	Radius
Pset_DistributionChamberElementTypeInspectionChamber	AccessLengthOrRadius	NLRS_C_radius
Pset_DistributionChamberElementTypeInspectionChamber	AccessLengthOrRadius	NLRS_C_lengte
Pset_DistributionChamberElementTypeInspectionChamber	AccessWidth	NLRS_C_breedte_01
Pset_DistributionChamberElementTypeInspectionChamber	BaseMaterial	NLRS_C_materiaal_01
Pset_DistributionChamberElementTypeInspectionChamber	BaseThickness	Thickness
Pset_DistributionChamberElementTypeInspectionChamber	BaseThickness	NLRS_C_dikte
Pset_DistributionChamberElementTypeInspectionChamber	ChamberLengthOrRadius	Length
Pset_DistributionChamberElementTypeInspectionChamber	ChamberLengthOrRadius	Radius
Pset_DistributionChamberElementTypeInspectionChamber	ChamberLengthOrRadius	NLRS_C_radius
Pset_DistributionChamberElementTypeInspectionChamber	ChamberLengthOrRadius	NLRS_C_lengte
Pset_DistributionChamberElementTypeInspectionChamber	ChamberWidth	NLRS_C_breedte_02
Pset_DistributionChamberElementTypeInspectionChamber	InvertLevel	
Pset_DistributionChamberElementTypeInspectionChamber	SoffitLevel	
Pset_DistributionChamberElementTypeInspectionChamber	WallMaterial	NLRS_C_materiaal_02
Pset_DistributionChamberElementTypeInspectionChamber	WallThickness	NLRS_C_dikte_01
Pset_DistributionChamberElementTypeInspectionChamber	WithBackdrop	
Pset_DistributionChamberElementTypeInspectionPit	Length	NLRS_C_lengte
Pset_DistributionChamberElementTypeInspectionPit	Length	Length
Pset_DistributionChamberElementTypeInspectionPit	Width	NLRS_C_breedte
Pset_DistributionChamberElementTypeInspectionPit	Width	Width
Pset_DistributionChamberElementTypeInspectionPit	Depth	Depth
Pset_DistributionChamberElementTypeInspectionPit	Depth	NLRS_C_diepte
Pset_DistributionChamberElementTypeManhole	AccessCoverLoadRating	NLRS_C_kwaliteitsklasse
Pset_DistributionChamberElementTypeManhole	AccessCoverMaterial	NLRS_C_materiaal_03
Pset_DistributionChamberElementTypeManhole	AccessLengthOrRadius	Length
Pset_DistributionChamberElementTypeManhole	AccessLengthOrRadius	Radius
Pset_DistributionChamberElementTypeManhole	AccessLengthOrRadius	NLRS_C_radius
Pset_DistributionChamberElementTypeManhole	AccessLengthOrRadius	NLRS_C_lengte
Pset_DistributionChamberElementTypeManhole	AccessWidth	NLRS_C_breedte
Pset_DistributionChamberElementTypeManhole	BaseMaterial	NLRS_C_materiaal_01
Pset_DistributionChamberElementTypeManhole	BaseThickness	Thickness
Pset_DistributionChamberElementTypeManhole	BaseThickness	NLRS_C_dikte
Pset_DistributionChamberElementTypeManhole	HasSteps	
Pset_DistributionChamberElementTypeManhole	InvertLevel	
Pset_DistributionChamberElementTypeManhole	IsShallow	
Pset_DistributionChamberElementTypeManhole	SoffitLevel	
Pset_DistributionChamberElementTypeManhole	WallMaterial	NLRS_C_materiaal_02
Pset_DistributionChamberElementTypeManhole	WallThickness	NLRS_C_dikte_01
Pset_DistributionChamberElementTypeManhole	WithBackdrop	
Pset_DistributionChamberElementTypeMeterChamber	AccessCoverMaterial	NLRS_C_materiaal
Pset_DistributionChamberElementTypeMeterChamber	BaseMaterial	NLRS_C_materiaal_01
Pset_DistributionChamberElementTypeMeterChamber	BaseThickness	Thickness
Pset_DistributionChamberElementTypeMeterChamber	BaseThickness	NLRS_C_dikte
Pset_DistributionChamberElementTypeMeterChamber	ChamberLengthOrRadius	Length
Pset_DistributionChamberElementTypeMeterChamber	ChamberLengthOrRadius	Radius
Pset_DistributionChamberElementTypeMeterChamber	ChamberLengthOrRadius	NLRS_C_radius
Pset_DistributionChamberElementTypeMeterChamber	ChamberLengthOrRadius	NLRS_C_lengte
Pset_DistributionChamberElementTypeMeterChamber	ChamberWidth	NLRS_C_breedte
Pset_DistributionChamberElementTypeMeterChamber	WallMaterial	NLRS_C_materiaal_02
Pset_DistributionChamberElementTypeMeterChamber	WallThickness	NLRS_C_dikte_01
Pset_DistributionChamberElementTypeSump	InvertLevel	
Pset_DistributionChamberElementTypeSump	Length	NLRS_C_lengte
Pset_DistributionChamberElementTypeSump	Length	Length
Pset_DistributionChamberElementTypeSump	Width	NLRS_C_breedte
Pset_DistributionChamberElementTypeSump	Width	Width
Pset_DistributionChamberElementTypeTrench	InvertLevel	
Pset_DistributionChamberElementTypeTrench	Width	NLRS_C_breedte
Pset_DistributionChamberElementTypeTrench	Width	Width
Pset_DistributionChamberElementTypeTrench	Depth	NLRS_C_diepte
Pset_DistributionChamberElementTypeTrench	Depth	Depth
Pset_DistributionChamberElementTypeValveChamber	AccessCoverMaterial	NLRS_C_materiaal_03
Pset_DistributionChamberElementTypeValveChamber	BaseMaterial	NLRS_C_materiaal_01
Pset_DistributionChamberElementTypeValveChamber	BaseThickness	Thickness
Pset_DistributionChamberElementTypeValveChamber	BaseThickness	NLRS_C_dikte
Pset_DistributionChamberElementTypeValveChamber	ChamberLengthOrRadius	Length
Pset_DistributionChamberElementTypeValveChamber	ChamberLengthOrRadius	Radius
Pset_DistributionChamberElementTypeValveChamber	ChamberLengthOrRadius	NLRS_C_radius
Pset_DistributionChamberElementTypeValveChamber	ChamberLengthOrRadius	NLRS_C_lengte
Pset_DistributionChamberElementTypeValveChamber	ChamberWidth	NLRS_C_breedte
Pset_DistributionChamberElementTypeValveChamber	WallMaterial	NLRS_C_materiaal_02
Pset_DistributionChamberElementTypeValveChamber	WallThickness	NLRS_C_dikte_01
Pset_DistributionPortCommon	ColorCode	
Pset_DistributionPortCommon	PortNumber	
Pset_DistributionPortTypeCable	ConductorFunction	
Pset_DistributionPortTypeCable	ConnectionGender	
Pset_DistributionPortTypeCable	ConnectionSubtype	NLRS_C_type
Pset_DistributionPortTypeCable	ConnectionType	NLRS_C_type_01
Pset_DistributionPortTypeCable	Current	
Pset_DistributionPortTypeCable	CurrentContent3rdHarmonic	
Pset_DistributionPortTypeCable	Power	
Pset_DistributionPortTypeCable	Protocols	
Pset_DistributionPortTypeCable	Voltage	NLRS_E_spanning
Pset_DistributionPortTypeDuct	ConnectionSubType	NLRS_C_type
Pset_DistributionPortTypeDuct	ConnectionType	NLRS_C_type_01
Pset_DistributionPortTypeDuct	DryBulbTemperature	
Pset_DistributionPortTypeDuct	NominalHeight	NLRS_C_hoogte
Pset_DistributionPortTypeDuct	NominalThickness	NLRS_C_dikte
Pset_DistributionPortTypeDuct	NominalWidth	NLRS_C_breedte
Pset_DistributionPortTypeDuct	NominalWidth	Width
Pset_DistributionPortTypeDuct	Pressure	
Pset_DistributionPortTypeDuct	Velocity	
Pset_DistributionPortTypeDuct	VolumetricFlowRate	NLRS_M_c01_volumestroom
Pset_DistributionPortTypeDuct	WetBulbTemperature	
Pset_DistributionPortTypePipe	ConnectionSubType	NLRS_C_type
Pset_DistributionPortTypePipe	ConnectionType	NLRS_C_type_01
Pset_DistributionPortTypePipe	FlowCondition	
Pset_DistributionPortTypePipe	InnerDiameter	NLRS_C_diameter_01
Pset_DistributionPortTypePipe	MassFlowRate	
Pset_DistributionPortTypePipe	NominalDiameter	NLRS_P_c01_diameter
Pset_DistributionPortTypePipe	OuterDiameter	NLRS_C_diameter_02
Pset_DistributionPortTypePipe	Pressure	
Pset_DistributionPortTypePipe	Temperature	
Pset_DistributionPortTypePipe	Velocity	
Pset_DistributionPortTypePipe	VolumetricFlowRate	NLRS_P_c01_volumestroom
Pset_DistributionSystemCommon	Reference	Description
Pset_DistributionSystemCommon	Reference	NLRS_C_description
Pset_DistributionSystemTypeElectrical	Diversity	
Pset_DistributionSystemTypeElectrical	ElectricalSystemCategory	
Pset_DistributionSystemTypeElectrical	ElectricalSystemType	NLRS_C_type
Pset_DistributionSystemTypeElectrical	MaximumAllowedVoltageDrop	
Pset_DistributionSystemTypeElectrical	NetImpedance	
Pset_DistributionSystemTypeElectrical	NumberOfLiveConductors	
Pset_DistributionSystemTypeVentilation	AspectRatio	
Pset_DistributionSystemTypeVentilation	DesignName	
Pset_DistributionSystemTypeVentilation	DuctSealant	
Pset_DistributionSystemTypeVentilation	DuctSizingMethod	
Pset_DistributionSystemTypeVentilation	FrictionLoss	
Pset_DistributionSystemTypeVentilation	LeakageClass	
Pset_DistributionSystemTypeVentilation	MaximumVelocity	
Pset_DistributionSystemTypeVentilation	MinimumHeight	Height
Pset_DistributionSystemTypeVentilation	MinimumWidth	NLRS_C_breedte_min
Pset_DistributionSystemTypeVentilation	PressureClass	
Pset_DistributionSystemTypeVentilation	ScrapFactor	
Pset_DoorCommon	FireRating	Fire Rating
Pset_DoorCommon	Reference	Description
Pset_DoorCommon	Reference	NLRS_C_description
Pset_DoorCommon	AcousticRating	NLRS_C_geluidwerendheid_Rw
Pset_DoorCommon	DurabilityRating	
Pset_DoorCommon	FireExit	NLRS_C_vluchtweg
Pset_DoorCommon	FireRating	NLRS_C_brandwerendheid
Pset_DoorCommon	GlazingAreaFraction	NLRS_C_glaspercentage
Pset_DoorCommon	HandicapAccessible	NLRS_C_toegankelijk
Pset_DoorCommon	HasDrive	
Pset_DoorCommon	HygrothermalRating	
Pset_DoorCommon	Infiltration	
Pset_DoorCommon	IsExternal	NLRS_C_buiten
Pset_DoorCommon	MechanicalLoadRating	
Pset_DoorCommon	SecurityRating	
Pset_DoorCommon	SelfClosing	
Pset_DoorCommon	SmokeStop	NLRS_C_rookwerend
Pset_DoorCommon	Status	NLRS_C_status
Pset_DoorCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_DoorCommon	WaterTightnessRating	
Pset_DoorCommon	WindLoadRating	
Pset_DoorWindowGlazingType	FillGas	
Pset_DoorWindowGlazingType	GlassColor	
Pset_DoorWindowGlazingType	GlassLayers	
Pset_DoorWindowGlazingType	GlassThickness1	NLRS_C_dikte_01
Pset_DoorWindowGlazingType	GlassThickness2	NLRS_C_dikte_02
Pset_DoorWindowGlazingType	GlassThickness3	NLRS_C_dikte_03
Pset_DoorWindowGlazingType	IsCoated	
Pset_DoorWindowGlazingType	IsLaminated	
Pset_DoorWindowGlazingType	IsTempered	
Pset_DoorWindowGlazingType	IsWired	
Pset_DoorWindowGlazingType	ShadingCoefficient	
Pset_DoorWindowGlazingType	SolarAbsorption	
Pset_DoorWindowGlazingType	SolarHeatGainTransmittance	
Pset_DoorWindowGlazingType	SolarReflectance	
Pset_DoorWindowGlazingType	SolarTransmittance	
Pset_DoorWindowGlazingType	ThermalTransmittanceSummer	
Pset_DoorWindowGlazingType	ThermalTransmittanceWinter	
Pset_DoorWindowGlazingType	VisibleLightReflectance	
Pset_DoorWindowGlazingType	VisibleLightTransmittance	
Pset_DuctFittingOccurrence	Color	NLRS_C_materiaal_kleur
Pset_DuctFittingOccurrence	HasLiner	
Pset_DuctFittingOccurrence	InteriorRoughnessCoefficient	
Pset_DuctFittingTypeCommon	Reference	Description
Pset_DuctFittingTypeCommon	Reference	NLRS_C_description
Pset_DuctFittingTypeCommon	PressureClass	
Pset_DuctFittingTypeCommon	PressureRange	
Pset_DuctFittingTypeCommon	Status	NLRS_C_status
Pset_DuctFittingTypeCommon	TemperatureRange	
Pset_DuctSegmentOccurrence	Color	NLRS_C_materiaal_kleur
Pset_DuctSegmentOccurrence	HasLiner	
Pset_DuctSegmentOccurrence	InteriorRoughnessCoefficient	
Pset_DuctSegmentTypeCommon	Reference	Description
Pset_DuctSegmentTypeCommon	Reference	NLRS_C_description
Pset_DuctSegmentTypeCommon	LongitudinalSeam	
Pset_DuctSegmentTypeCommon	NominalDiameterOrWidth	NLRS_C_diameter
Pset_DuctSegmentTypeCommon	NominalHeight	NLRS_C_hoogte
Pset_DuctSegmentTypeCommon	NominalHeight	Height
Pset_DuctSegmentTypeCommon	NominalDiameterOrWidth	NLRS_C_breedte
Pset_DuctSegmentTypeCommon	NominalDiameterOrWidth	Width
Pset_DuctSegmentTypeCommon	PressureRange	
Pset_DuctSegmentTypeCommon	Reinforcement	
Pset_DuctSegmentTypeCommon	ReinforcementSpacing	
Pset_DuctSegmentTypeCommon	Shape	NLRS_C_vorm
Pset_DuctSegmentTypeCommon	Status	NLRS_C_status
Pset_DuctSegmentTypeCommon	TemperatureRange	
Pset_DuctSegmentTypeCommon	WorkingPressure	
Pset_DuctSegmentTypeCommon	NominalDiameterOrWidth	Diameter
Pset_DuctSilencerTypeCommon	Reference	Description
Pset_DuctSilencerTypeCommon	Reference	NLRS_C_description
Pset_DuctSilencerTypeCommon	AirFlowrateRange	
Pset_DuctSilencerTypeCommon	HasExteriorInsulation	NLRS_C_geisoleerd
Pset_DuctSilencerTypeCommon	HydraulicDiameter	NLRS_C_diameter_01
Pset_DuctSilencerTypeCommon	Length	NLRS_C_lengte
Pset_DuctSilencerTypeCommon	Length	Length
Pset_DuctSilencerTypeCommon	Status	NLRS_C_status
Pset_DuctSilencerTypeCommon	TemperatureRange	
Pset_DuctSilencerTypeCommon	Weight	NLRS_C_gewicht
Pset_DuctSilencerTypeCommon	WorkingPressureRange	
Pset_ElectricalDeviceCommon	ConductorFunction	
Pset_ElectricalDeviceCommon	HasProtectiveEarth	
Pset_ElectricalDeviceCommon	IK	
Pset_ElectricalDeviceCommon	InsulationStandardClass	
Pset_ElectricalDeviceCommon	IP	
Pset_ElectricalDeviceCommon	NominalFrequencyRange	
Pset_ElectricalDeviceCommon	NumberOfPoles	
Pset_ElectricalDeviceCommon	PowerFactor	
Pset_ElectricalDeviceCommon	RatedCurrent	
Pset_ElectricalDeviceCommon	RatedVoltage	NLRS_E_spanning
Pset_ElectricApplianceTypeCommon	Reference	Description
Pset_ElectricApplianceTypeCommon	Reference	NLRS_C_description
Pset_ElectricApplianceTypeCommon	Status	NLRS_C_status
Pset_ElectricApplianceTypeDishwasher	DishwasherType	NLRS_C_type
Pset_ElectricApplianceTypeElectricCooker	ElectricCookerType	NLRS_C_type
Pset_ElectricDistributionBoardOccurrence	IsMain	
Pset_ElectricDistributionBoardOccurrence	IsSkilledOperator	
Pset_ElectricDistributionBoardTypeCommon	Reference	Description
Pset_ElectricDistributionBoardTypeCommon	Reference	NLRS_C_description
Pset_ElectricDistributionBoardTypeCommon	Status	NLRS_C_status
Pset_ElectricDistributionPointCommon	CaseMaterial	NLRS_C_materiaal_01
Pset_ElectricDistributionPointCommon	CaseWeight	
Pset_ElectricDistributionPointCommon	IsMain	
Pset_ElectricDistributionPointCommon	NumberOfDoors	
Pset_ElectricDistributionPointCommon	NumberOfOpenings	
Pset_ElectricFlowStorageDeviceTypeCommon	Reference	Description
Pset_ElectricFlowStorageDeviceTypeCommon	Reference	NLRS_C_description
Pset_ElectricFlowStorageDeviceTypeCommon	ConnectedConductorFunction	
Pset_ElectricFlowStorageDeviceTypeCommon	EarthFault1PoleMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	EarthFault1PoleMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	EarthFault1PolePowerFactorMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	EarthFault1PolePowerFactorMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ModuleCapacity	
Pset_ElectricFlowStorageDeviceTypeCommon	ModulesInParallel	
Pset_ElectricFlowStorageDeviceTypeCommon	ModulesInSeries	
Pset_ElectricFlowStorageDeviceTypeCommon	NominalFrequency	
Pset_ElectricFlowStorageDeviceTypeCommon	NominalSupplyVoltage	
Pset_ElectricFlowStorageDeviceTypeCommon	NominalSupplyVoltageOffset	
Pset_ElectricFlowStorageDeviceTypeCommon	RadiativeFraction	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit1PoleMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit1PoleMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit1PolePowerFactorMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit1PolePowerFactorMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit2PoleMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit2PolePowerFactorMinimumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit3PoleMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	ShortCircuit3PolePowerFactorMaximumState	
Pset_ElectricFlowStorageDeviceTypeCommon	Status	NLRS_C_status
Pset_ElectricGeneratorTypeCommon	Reference	Description
Pset_ElectricGeneratorTypeCommon	Reference	NLRS_C_description
Pset_ElectricGeneratorTypeCommon	ElectricGeneratorEfficiency	
Pset_ElectricGeneratorTypeCommon	MaximumPowerOutput	
Pset_ElectricGeneratorTypeCommon	StartCurrentFactor	
Pset_ElectricGeneratorTypeCommon	Status	NLRS_C_status
Pset_ElectricMotorTypeCommon	Reference	Description
Pset_ElectricMotorTypeCommon	Reference	NLRS_C_description
Pset_ElectricMotorTypeCommon	ElectricMotorEfficiency	
Pset_ElectricMotorTypeCommon	FrameSize	
Pset_ElectricMotorTypeCommon	HasPartWinding	
Pset_ElectricMotorTypeCommon	IsGuarded	
Pset_ElectricMotorTypeCommon	LockedRotorCurrent	
Pset_ElectricMotorTypeCommon	MaximumPowerOutput	
Pset_ElectricMotorTypeCommon	MotorEnclosureType	NLRS_C_type
Pset_ElectricMotorTypeCommon	StartCurrentFactor	
Pset_ElectricMotorTypeCommon	StartingTime	
Pset_ElectricMotorTypeCommon	Status	NLRS_C_status
Pset_ElectricMotorTypeCommon	TeTime	
Pset_ElectricTimeControlTypeCommon	Reference	Description
Pset_ElectricTimeControlTypeCommon	Reference	NLRS_C_description
Pset_ElectricTimeControlTypeCommon	Status	NLRS_C_status
Pset_EngineTypeCommon	Reference	Description
Pset_EngineTypeCommon	Reference	NLRS_C_description
Pset_EngineTypeCommon	EnergySource	
Pset_EngineTypeCommon	Status	NLRS_C_status
Pset_EvaporativeCoolerTypeCommon	Reference	Description
Pset_EvaporativeCoolerTypeCommon	Reference	NLRS_C_description
Pset_EvaporativeCoolerTypeCommon	AirPressureDropCurve	
Pset_EvaporativeCoolerTypeCommon	EffectivenessTable	
Pset_EvaporativeCoolerTypeCommon	FlowArrangement	
Pset_WindowCommon	GlazingAreaFraction	NLRS_C_glaspercentage
Pset_EvaporativeCoolerTypeCommon	OperationTemperatureRange	
Pset_EvaporativeCoolerTypeCommon	Status	NLRS_C_status
Pset_EvaporativeCoolerTypeCommon	WaterPressDropCurve	
Pset_EvaporativeCoolerTypeCommon	WaterRequirement	
Pset_EvaporatorTypeCommon	Reference	Description
Pset_EvaporatorTypeCommon	Reference	NLRS_C_description
Pset_EvaporatorTypeCommon	EvaporatorCoolant	
Pset_EvaporatorTypeCommon	EvaporatorMediumType	NLRS_C_type
Pset_ZoneCommon	GrossAreaPlanned	NLRS_C_eis_oppervlakte_bruto
Pset_EvaporatorTypeCommon	InternalRefrigerantVolume	NLRS_C_volume_02
Pset_BuildingCommon	GrossPlannedArea	NLRS_C_eis_oppervlakte_bruto
Pset_EvaporatorTypeCommon	InternalWaterVolume	NLRS_C_volume_01
Pset_BuildingStoreyCommon	GrossPlannedArea	NLRS_C_eis_oppervlakte_bruto
Pset_EvaporatorTypeCommon	NominalHeatTransferCoefficient	
Pset_EvaporatorTypeCommon	RefrigerantClass	
Pset_EvaporatorTypeCommon	Status	NLRS_C_status
Pset_FanOccurrence	ApplicationOfFan	
Pset_FanOccurrence	CoilPosition	
Pset_FanOccurrence	DischargeType	NLRS_C_type
Pset_FanOccurrence	FanMountingType	NLRS_C_montage
Pset_FanOccurrence	FractionOfMotorHeatToAirStream	
Pset_FanOccurrence	ImpellerDiameter	NLRS_C_diameter_01
Pset_FanOccurrence	MotorPosition	
Pset_FanTypeCommon	Reference	Description
Pset_FanTypeCommon	Reference	NLRS_C_description
Pset_FanTypeCommon	CapacityControlType	NLRS_C_type
Pset_FanTypeCommon	EfficiencyCurve	
Pset_FanTypeCommon	MotorDriveType	NLRS_C_type
Pset_FanTypeCommon	NominalAirFlowRate	
Pset_FanTypeCommon	NominalPowerRate	
Pset_FanTypeCommon	NominalRotationSpeed	
Pset_FanTypeCommon	NominalStaticPressure	
Pset_FanTypeCommon	NominalTotalPressure	
Pset_FanTypeCommon	OperationalCriteria	
Pset_FanTypeCommon	OperationTemperatureRange	
Pset_FanTypeCommon	PressureCurve	
Pset_FanTypeCommon	Status	NLRS_C_status
Pset_FilterTypeAirParticleFilter	AirParticleFilterType	NLRS_C_type
Pset_FilterTypeAirParticleFilter	CountedEfficiencyCurve	
Pset_FilterTypeAirParticleFilter	DustHoldingCapacity	
Pset_SpaceCommon	GrossPlannedArea	NLRS_C_eis_oppervlakte_bruto
Pset_FilterTypeAirParticleFilter	FrameMaterial	NLRS_C_materiaal_01
Pset_EvaporativeCoolerTypeCommon	HeatExchangeArea	
Pset_FilterTypeAirParticleFilter	NominalCountedEfficiency	
Pset_FilterTypeAirParticleFilter	NominalWeightedEfficiency	
Pset_FilterTypeAirParticleFilter	PressureDropCurve	
Pset_FilterTypeAirParticleFilter	SeparationType	NLRS_C_type
Pset_FilterTypeAirParticleFilter	WeightedEfficiencyCurve	
Pset_FilterTypeCommon	Reference	Description
Pset_FilterTypeCommon	Reference	NLRS_C_description
Pset_FilterTypeCommon	FinalResistance	
Pset_FilterTypeCommon	FlowRateRange	
Pset_FilterTypeCommon	InitialResistance	
Pset_FilterTypeCommon	NominalFilterFaceVelocity	
Pset_FilterTypeCommon	NominalFlowrate	
Pset_FilterTypeCommon	NominalMediaSurfaceVelocity	
Pset_FilterTypeCommon	NominalParticleGeometricMeanDiameter	NLRS_C_diameter_01
Pset_FilterTypeCommon	NominalParticleGeometricStandardDeviation	
Pset_FilterTypeCommon	NominalPressureDrop	
Pset_FilterTypeCommon	OperationTemperatureRange	
Pset_FilterTypeCommon	Status	NLRS_C_status
Pset_FilterTypeCommon	Weight	NLRS_C_gewicht
Pset_FilterTypeCompressedAirFilter	AutomaticCondensateDischarge	
Pset_FilterTypeCompressedAirFilter	CloggingIndicator	
Pset_FilterTypeCompressedAirFilter	CompressedAirFilterType	NLRS_C_type
Pset_FilterTypeCompressedAirFilter	OperationPressureMax	
Pset_FilterTypeCompressedAirFilter	ParticleAbsorptionCurve	
Pset_FilterTypeCompressedWaterFilter	WaterFilterType	NLRS_C_type
Pset_FireSuppressionTerminalTypeBreechingInlet	BreechingInletType	NLRS_C_type
Pset_FireSuppressionTerminalTypeBreechingInlet	CouplingType	NLRS_C_type
Pset_FireSuppressionTerminalTypeBreechingInlet	HasCaps	
Pset_FireSuppressionTerminalTypeBreechingInlet	InletDiameter	NLRS_P_c01_diameter
Pset_FireSuppressionTerminalTypeBreechingInlet	OutletDiameter	NLRS_P_c02_diameter
Pset_FireSuppressionTerminalTypeCommon	Reference	Description
Pset_FireSuppressionTerminalTypeCommon	Reference	NLRS_C_description
Pset_FireSuppressionTerminalTypeCommon	Status	NLRS_C_status
Pset_FireSuppressionTerminalTypeFireHydrant	BodyColor	NLRS_C_materiaal_kleur
Pset_FireSuppressionTerminalTypeFireHydrant	CapColor	NLRS_C_materiaal_kleur_01
Pset_FireSuppressionTerminalTypeFireHydrant	DischargeFlowRate	
Pset_FireSuppressionTerminalTypeFireHydrant	FireHydrantType	NLRS_C_type
Pset_FireSuppressionTerminalTypeFireHydrant	FlowClass	
Pset_FireSuppressionTerminalTypeFireHydrant	HoseConnectionSize	
Pset_FireSuppressionTerminalTypeFireHydrant	NumberOfHoseConnections	
Pset_FireSuppressionTerminalTypeFireHydrant	PressureRating	
Pset_FireSuppressionTerminalTypeFireHydrant	PumperConnectionSize	
Pset_FireSuppressionTerminalTypeFireHydrant	WaterIsPotable	
Pset_FireSuppressionTerminalTypeHoseReel	ClassificationAuthority	
Pset_FireSuppressionTerminalTypeHoseReel	ClassOfService	
Pset_FireSuppressionTerminalTypeHoseReel	HoseDiameter	NLRS_P_c01_diameter
Pset_FireSuppressionTerminalTypeHoseReel	HoseLength	NLRS_C_lengte_01
Pset_FireSuppressionTerminalTypeHoseReel	HoseNozzleType	NLRS_C_type
Pset_FireSuppressionTerminalTypeHoseReel	HoseReelMountingType	NLRS_C_montage
Pset_FireSuppressionTerminalTypeHoseReel	HoseReelType	NLRS_C_type
Pset_FireSuppressionTerminalTypeHoseReel	InletConnectionSize	
