# Dit is de ParameterMappingTable. Kopieer deze tekst in een leeg txt bestand om een bestand te maken wat in Revit ingelezen kan worden		
# Deze tabel mapt de NLRS parameters (of Revit Built-In parameters) aan de Common Property Sets in IFC. Indien geen mapping beschikbaar is, is de regel leeg gelaten		
# Parameters die u niet wilt mappen kunt u uitschakelen door aan het begin van de regel een # te plaatsen		
# PSet <tab> IFC Property <tab> Revit parameter		
# IFC 4		
# NLRS 3.1.1		
# -----------------------------------------------------		
#PropertySet	IFC Property	Revit Parameter
Pset_AudioVisualApplianceTypeDisplay	VideoCaptionMode	
Pset_AudioVisualApplianceTypeDisplay	VideoResolutionHeight	
Pset_AudioVisualApplianceTypeDisplay	VideoResolutionMode	
Pset_AudioVisualApplianceTypeDisplay	VideoScaleMode	
Pset_AudioVisualApplianceTypeDisplay	VideoResolutionWidth	
Pset_AudioVisualApplianceTypePlayer	PlayerMediaEject	
Pset_AudioVisualApplianceTypePlayer	PlayerMediaFormat	
Pset_AudioVisualApplianceTypePlayer	PlayerType	NLRS_C_type
Pset_AudioVisualApplianceTypeProjector	ProjectorType	NLRS_C_type
Pset_AudioVisualApplianceTypeProjector	VideoCaptionMode	
Pset_AudioVisualApplianceTypeProjector	VideoResolutionHeight	
Pset_AudioVisualApplianceTypeProjector	VideoResolutionMode	
Pset_AudioVisualApplianceTypeProjector	VideoScaleMode	
Pset_AudioVisualApplianceTypeProjector	VideoResolutionWidth	
Pset_AudioVisualApplianceTypeReceiver	AudioAmplification	
Pset_AudioVisualApplianceTypeReceiver	AudioMode	
Pset_AudioVisualApplianceTypeReceiver	ReceiverType	NLRS_C_type
Pset_AudioVisualApplianceTypeSpeaker	FrequencyResponse	
Pset_AudioVisualApplianceTypeSpeaker	Impedence	
Pset_AudioVisualApplianceTypeSpeaker	SpeakerDriverSize	
Pset_AudioVisualApplianceTypeSpeaker	SpeakerMounting	NLRS_C_montage
Pset_AudioVisualApplianceTypeSpeaker	SpeakerType	NLRS_C_type
Pset_AudioVisualApplianceTypeTuner	TunerChannel	
Pset_AudioVisualApplianceTypeTuner	TunerFrequency	
Pset_AudioVisualApplianceTypeTuner	TunerMode	
Pset_AudioVisualApplianceTypeTuner	TunerType	NLRS_C_type
Pset_BeamCommon	Reference	Description
Pset_BeamCommon	Reference	NLRS_C_description
Pset_BeamCommon	FireRating	Fire Rating
Pset_BeamCommon	FireRating	NLRS_C_brandwerendheid
Pset_BeamCommon	IsExternal	NLRS_C_buiten
Pset_BeamCommon	LoadBearing	NLRS_C_dragend
Pset_BeamCommon	Roll	
Pset_BeamCommon	Slope	NLRS_C_helling
Pset_BeamCommon	Span	NLRS_C_lengte
Pset_BeamCommon	Status	NLRS_C_status
Pset_BeamCommon	ThermalTransmittance	NLRS_B_Uwaarde
Pset_BoilerTypeCommon	Reference	Description
Pset_BoilerTypeCommon	Reference	NLRS_C_description
Pset_BoilerTypeCommon	EnergySource	
Pset_SpaceThermalDesign	BoundaryAreaHeatLoss	
Pset_BoilerTypeCommon	IsWaterStorageHeater	
Pset_BoilerTypeCommon	NominalEnergyConsumption	
Pset_BoilerTypeCommon	NominalPartLoadRatio	
Pset_BoilerTypeCommon	OperatingMode	
Pset_BoilerTypeCommon	OutletTemperatureRange	
Pset_BoilerTypeCommon	PartialLoadEfficiencyCurves	
Pset_BoilerTypeCommon	PressureRating	
Pset_BoilerTypeCommon	Status	NLRS_C_status
Pset_BoilerTypeCommon	WaterInletTemperatureRange	
Pset_BoilerTypeCommon	WaterStorageCapacity	
Pset_BoilerTypeSteam	HeatOutput	
Pset_BoilerTypeSteam	MaximumOutletPressure	
Pset_BoilerTypeSteam	NominalEfficiency	
Pset_BoilerTypeWater	HeatOutput	
Pset_BoilerTypeWater	NominalEfficiency	
Pset_BuildingCommon	Reference	Description
Pset_BuildingCommon	Reference	NLRS_C_description
Pset_BuildingCommon	BuildingID	
Pset_BuildingCommon	ConstructionMethod	
